Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score
1,,Female,Undergraduate,Bangladesh,5.2,Instagram,Yes,6.5,6,In Relationship,3,8
2,120.0,Male,Graduate,India,2.1,Twitter,No,7.5,8,Single,0,3
3,-5.0,Female,Undergraduate,USA,6.0,TikTok,Yes,5.0,5,Complicated,4,9
4,18.0,Male,High School,UK,25.0,YouTube,No,7.0,7,Single,1,4
5,21.0,Male,Graduate,Canada,4.5,Facebook,Yes,20.0,6,In Relationship,2,7
6,19.0,,Undergraduate,Australia,7.2,Instagram,Yes,4.5,4,Complicated,5,9
7,23.0,Male,Graduate,Germany,1.5,LinkedIn,No,8.0,50,Single,0,2
8,20.0,Female,Undergraduate,Brazil,5.8,Snapchat,Yes,6.0,-1,In Relationship,2,8
9,18.0,Femail,High School,Japan,4.0,TikTok,No,6.5,7,Single,1,5
10,21.0,malee,Graduate,South Korea,3.3,Instagram,No,7.0,7,In Relationship,1,4
11,19.0,Male,Undergraduate,France,4.8,Snapchat,Yes,,5,Complicated,3,7
12,20.0,Female,Undergraduate,usa,5.5,TikTok,Yes,5.8,6,In Relationship,2,8
13,22.0,Male,Graduate,U.S.,2.8,LinkedIn,No,7.2,8,Single,1,4
14,18.0,Female,High School,United States,6.5,Instagram,Yes,5.5,5,Single,4,9
15,21.0,Male,Undergraduate,Russia,3.7,YouTube,No,6.8,7,In Relationship,2,5
16,20.0,Female,Undergraduate,China,4.2,TikTok,Yes,6.0,6,Complicated,3,7
17,24.0,Male,Graduate,Sweden,2.0,LinkedIn,No,7.8,8,Single,0,3
18,19.0,Female,High School,Norway,5.0,Instagram,Yes,5.7,5,In Relationship,3,8
19,21.0,Male,Undergraduate,Denmark,3.5,Facebook,No,6.7,7,Single,1,5
20,20.0,Female,Undergraduate,Netherlands,4.7,Snapchat,Yes,5.9,6,Complicated,3,7
21,18.0,Male,High School,Belgium,5.3,TikTok,Yes,5.5,5,Single,4,8
22,23.0,Female,Graduate,Switzerland,2.5,LinkedIn,No,7.3,8,In Relationship,1,4
23,19.0,Male,Undergraduate,Austria,4.9,Instagram,Yes,5.8,6,Complicated,3,7
24,20.0,Female,Undergraduate,Portugal,5.7,TikTok,Yes,5.4,5,Single,4,8
25,22.0,Male,Graduate,Greece,3.2,Facebook,No,6.9,7,In Relationship,2,5
26,19.0,Female,High School,Ireland,6.1,Instagram,Yes,5.2,5,Complicated,4,9
27,21.0,Male,Undergraduate,New Zealand,3.8,YouTube,No,6.6,7,Single,1,5
28,20.0,Female,Undergraduate,Singapore,4.4,TikTok,Yes,5.9,6,In Relationship,3,7
29,24.0,Male,Graduate,Malaysia,2.2,LinkedIn,No,7.4,8,Single,0,3
30,19.0,Female,High School,Thailand,5.9,Instagram,Yes,5.3,5,Complicated,4,8
31,21.0,Male,Undergraduate,Vietnam,3.6,Facebook,No,6.7,7,Single,1,5
32,20.0,Female,Undergraduate,Philippines,4.8,Snapchat,Yes,5.7,6,In Relationship,3,7
33,18.0,Male,High School,Indonesia,5.4,TikTok,Yes,5.4,5,Complicated,4,8
34,23.0,Female,Graduate,Taiwan,2.6,LinkedIn,No,7.2,8,Single,1,4
35,19.0,Male,Undergraduate,Hong Kong,4.7,Instagram,Yes,5.8,6,In Relationship,3,7
36,20.0,Female,Undergraduate,Turkey,5.6,TikTok,Yes,5.5,5,Complicated,4,8
37,22.0,Male,Graduate,Israel,3.1,Facebook,No,6.8,7,Single,1,5
38,19.0,Female,High School,UAE,6.2,Instagram,Yes,5.1,5,In Relationship,4,9
39,21.0,Male,Undergraduate,Egypt,3.9,YouTube,No,6.5,7,Complicated,2,6
40,20.0,Female,Undergraduate,Morocco,4.5,TikTok,Yes,5.8,6,Single,3,7
41,24.0,Male,Graduate,South Africa,2.3,LinkedIn,No,7.3,8,In Relationship,1,4
42,19.0,Female,High School,Nigeria,5.8,Instagram,Yes,5.4,5,Complicated,4,8
43,21.0,Male,Undergraduate,Kenya,3.7,Facebook,No,6.6,7,Single,2,5
44,20.0,Female,Undergraduate,Ghana,4.6,Snapchat,Yes,5.7,6,In Relationship,3,7
45,18.0,Male,High School,Argentina,5.5,TikTok,Yes,5.3,5,Single,4,8
46,23.0,Female,Graduate,Chile,2.7,LinkedIn,No,7.1,8,Complicated,1,4
